time,x_t,x_t-1,x_t-2,y_t,y_t-1,y_t-2,z_t,z_t-1,z_t-2
3,-1.917685158,1.244881764,-0.741862518,-0.113188052,1.488887456,-1.268103609,1.535238778,-0.481582539,-1.863980166
4,-0.962317629,-1.917685158,1.244881764,-1.106778594,-0.113188052,1.488887456,-1.492955761,1.535238778,-0.481582539
5,1.331875102,-0.962317629,-1.917685158,2.385040811,-1.106778594,-0.113188052,-1.119476212,-1.492955761,1.535238778
6,-0.8170829,1.331875102,-0.962317629,-0.675346281,2.385040811,-1.106778594,0.746657902,-1.119476212,-1.492955761
7,0.743585963,-0.8170829,1.331875102,-0.010639353,-0.675346281,2.385040811,0.063088675,0.746657902,-1.119476212
8,-1.280173167,0.743585963,-0.8170829,1.019141615,-0.010639353,-0.675346281,0.812235161,0.063088675,0.746657902
9,0.555004181,-1.280173167,0.743585963,-0.194615118,1.019141615,-0.010639353,-1.731141339,0.812235161,0.063088675
10,-0.076886143,0.555004181,-1.280173167,1.633441402,-0.194615118,1.019141615,0.357270473,-1.731141339,0.812235161
11,0.842846283,-0.076886143,0.555004181,-1.167448221,1.633441402,-0.194615118,-0.080599755,0.357270473,-1.731141339
12,-1.050086389,0.842846283,-0.076886143,0.217246161,-1.167448221,1.633441402,1.020736743,-0.080599755,0.357270473
13,0.992532049,-1.050086389,0.842846283,-0.672663789,0.217246161,-1.167448221,-0.326734623,1.020736743,-0.080599755
14,-0.314656087,0.992532049,-1.050086389,-0.296778866,-0.672663789,0.217246161,0.307151369,-0.326734623,1.020736743
15,1.466061576,-0.314656087,0.992532049,-0.510561933,-0.296778866,-0.672663789,-0.226960645,0.307151369,-0.326734623
16,-1.61357238,1.466061576,-0.314656087,1.465883289,-0.510561933,-0.296778866,1.523424867,-0.226960645,0.307151369
17,-0.480080269,-1.61357238,1.466061576,-0.433485545,1.465883289,-0.510561933,-1.540322935,1.523424867,-0.226960645
18,0.997189335,-0.480080269,-1.61357238,0.118151313,-0.433485545,1.465883289,0.29119956,-1.540322935,1.523424867
19,-2.034038346,0.997189335,-0.480080269,0.50729183,0.118151313,-0.433485545,1.487987281,0.29119956,-1.540322935
20,-1.560020076,-2.034038346,0.997189335,-1.226802982,0.50729183,0.118151313,-2.443141567,1.487987281,0.29119956
21,0.201774357,-1.560020076,-2.034038346,0.697495314,-1.226802982,0.50729183,-1.453055089,-2.443141567,1.487987281
22,1.113258907,0.201774357,-1.560020076,0.862965977,0.697495314,-1.226802982,-0.401897498,-1.453055089,-2.443141567
23,-1.866068578,1.113258907,0.201774357,-0.639584919,0.862965977,0.697495314,1.284663607,-0.401897498,-1.453055089
24,-0.809943472,-1.866068578,1.113258907,-0.222526696,-0.639584919,0.862965977,-1.983265314,1.284663607,-0.401897498
25,1.325859915,-0.809943472,-1.866068578,0.836702462,-0.222526696,-0.639584919,-0.088878572,-1.983265314,1.284663607
26,-1.421913953,1.325859915,-0.809943472,1.319094345,0.836702462,-0.222526696,0.375582297,-0.088878572,-1.983265314
27,0.137876449,-1.421913953,1.325859915,-1.36366474,1.319094345,0.836702462,-1.568808696,0.375582297,-0.088878572
28,1.095383021,0.137876449,-1.421913953,-0.161693602,-1.36366474,1.319094345,0.18878508,-1.568808696,0.375582297
29,-1.058729002,1.095383021,0.137876449,-0.493608195,-0.161693602,-1.36366474,1.00710109,0.18878508,-1.568808696
30,0.711817732,-1.058729002,1.095383021,0.096733727,-0.493608195,-0.161693602,-1.734990086,1.00710109,0.18878508
31,-0.031449534,0.711817732,-1.058729002,1.072348624,0.096733727,-0.493608195,0.272353833,-1.734990086,1.00710109
32,1.180607043,-0.031449534,0.711817732,-0.569276899,1.072348624,0.096733727,0.132415967,0.272353833,-1.734990086
33,-1.387745561,1.180607043,-0.031449534,1.736596897,-0.569276899,1.072348624,1.051856981,0.132415967,0.272353833
34,0.181451349,-1.387745561,1.180607043,-0.873817764,1.736596897,-0.569276899,-1.260551265,1.051856981,0.132415967
35,0.468995118,0.181451349,-1.387745561,2.095509948,-0.873817764,1.736596897,0.162404132,-1.260551265,1.051856981
36,0.222637162,0.468995118,0.181451349,-0.605192292,2.095509948,-0.873817764,-0.313141874,0.162404132,-1.260551265
37,0.677274174,0.222637162,0.468995118,0.009175989,-0.605192292,2.095509948,0.487723889,-0.313141874,0.162404132
38,0.045755424,0.677274174,0.222637162,-0.717945927,0.009175989,-0.605192292,1.24830621,0.487723889,-0.313141874
39,1.084118867,0.045755424,0.677274174,-0.070537156,-0.717945927,0.009175989,-0.2085223,1.24830621,0.487723889
40,-1.167567319,1.084118867,0.045755424,0.440672258,-0.070537156,-0.717945927,0.992379018,-0.2085223,1.24830621
41,0.879658686,-1.167567319,1.084118867,-1.644488587,0.440672258,-0.070537156,-0.668460951,0.992379018,-0.2085223
42,0.055981494,0.879658686,-1.167567319,1.564518782,-1.644488587,0.440672258,1.134456953,-0.668460951,0.992379018
43,0.900566621,0.055981494,0.879658686,-1.490914226,1.564518782,-1.644488587,-0.250573861,1.134456953,-0.668460951
44,-0.669431425,0.900566621,0.055981494,-0.079992629,-1.490914226,1.564518782,1.567439149,-0.250573861,1.134456953
45,1.383144271,-0.669431425,0.900566621,0.197416957,-0.079992629,-1.490914226,-0.822636271,1.567439149,-0.250573861
46,-1.345021232,1.383144271,-0.669431425,0.685564146,0.197416957,-0.079992629,0.844851844,-0.822636271,1.567439149
47,0.248406163,-1.345021232,1.383144271,-0.32166416,0.685564146,0.197416957,-1.180108739,0.844851844,-0.822636271
48,0.529035215,0.248406163,-1.345021232,0.784805545,-0.32166416,0.685564146,0.092095802,-1.180108739,0.844851844
49,-0.349430762,0.529035215,0.248406163,-0.864682834,0.784805545,-0.32166416,0.571996061,0.092095802,-1.180108739
50,1.257521747,-0.349430762,0.529035215,0.777882787,-0.864682834,0.784805545,-0.196853164,0.571996061,0.092095802
51,-0.978601366,1.257521747,-0.349430762,-0.538724191,0.777882787,-0.864682834,0.334697755,-0.196853164,0.571996061
52,0.97713909,-0.978601366,1.257521747,-0.309352105,-0.538724191,0.777882787,-0.661837398,0.334697755,-0.196853164
53,0.133081125,0.97713909,-0.978601366,0.000553478,-0.309352105,-0.538724191,0.15671314,-0.661837398,0.334697755
54,0.790843191,0.133081125,0.97713909,-0.012580698,0.000553478,-0.309352105,0.021106833,0.15671314,-0.661837398
55,-1.184901302,0.790843191,0.133081125,0.563513365,-0.012580698,0.000553478,1.02158984,0.021106833,0.15671314
56,0.674038408,-1.184901302,0.790843191,0.546839213,0.563513365,-0.012580698,-0.726263679,1.02158984,0.021106833
57,0.155118223,0.674038408,-1.184901302,1.708684621,0.546839213,0.563513365,-0.130247701,-0.726263679,1.02158984
58,0.710373896,0.155118223,0.674038408,-0.924342793,1.708684621,0.546839213,-0.547197196,-0.130247701,-0.726263679
59,0.373405131,0.710373896,0.155118223,0.229086666,-0.924342793,1.708684621,0.534906868,-0.547197196,-0.130247701
60,0.604152687,0.373405131,0.710373896,-1.149584409,0.229086666,-0.924342793,0.476250759,0.534906868,-0.547197196
61,-0.599674799,0.604152687,0.373405131,1.567761516,-1.149584409,0.229086666,0.715422,0.476250759,0.534906868
62,1.337703056,-0.599674799,0.604152687,-1.52822511,1.567761516,-1.149584409,-0.009870978,0.715422,0.476250759
63,-1.346487515,1.337703056,-0.599674799,-0.089572253,-1.52822511,1.567761516,0.469972378,-0.009870978,0.715422
64,0.603144928,-1.346487515,1.337703056,-0.620200975,-0.089572253,-1.52822511,-1.502500994,0.469972378,-0.009870978
65,0.42916742,0.603144928,-1.346487515,-0.285002774,-0.620200975,-0.089572253,0.843343598,-1.502500994,0.469972378
66,0.326290509,0.42916742,0.603144928,-0.930041843,-0.285002774,-0.620200975,1.002675239,0.843343598,-1.502500994
67,0.645812851,0.326290509,0.42916742,-0.705679112,-0.930041843,-0.285002774,0.800796457,1.002675239,0.843343598
68,0.162594361,0.645812851,0.326290509,-1.115939859,-0.705679112,-0.930041843,0.900459719,0.800796457,1.002675239
69,0.551451867,0.162594361,0.645812851,-0.888741683,-1.115939859,-0.705679112,1.093252848,0.900459719,0.800796457
70,0.091405526,0.551451867,0.162594361,0.418740121,-0.888741683,-1.115939859,0.468702066,1.093252848,0.900459719
71,0.759119771,0.091405526,0.551451867,-0.190223442,0.418740121,-0.888741683,0.460332592,0.468702066,1.093252848
72,-0.652498947,0.759119771,0.091405526,-0.935922238,-0.190223442,0.418740121,0.88342704,0.460332592,0.468702066
73,1.255777886,-0.652498947,0.759119771,-0.126204993,-0.935922238,-0.190223442,-0.820047555,0.88342704,0.460332592
74,-1.06419718,1.255777886,-0.652498947,0.191106276,-0.126204993,-0.935922238,0.78348598,-0.820047555,0.88342704
75,0.662830422,-1.06419718,1.255777886,-0.939949958,0.191106276,-0.126204993,-1.111759834,0.78348598,-0.820047555
76,-0.16963299,0.662830422,-1.06419718,1.525613482,-0.939949958,0.191106276,1.50161138,-1.111759834,0.78348598
77,0.907829306,-0.16963299,0.662830422,-0.705880544,1.525613482,-0.939949958,0.150137651,1.50161138,-1.111759834
78,-1.792882981,0.907829306,-0.16963299,1.406556608,-0.705880544,1.525613482,0.50480681,0.150137651,1.50161138
79,-0.613206689,-1.792882981,0.907829306,-0.380974249,1.406556608,-0.705880544,-1.468305915,0.50480681,0.150137651
80,1.280622662,-0.613206689,-1.792882981,1.983322846,-0.380974249,1.406556608,-0.783359588,-1.468305915,0.50480681
81,-1.92372702,1.280622662,-0.613206689,-0.352249423,1.983322846,-0.380974249,0.796960188,-0.783359588,-1.468305915
82,-1.142341856,-1.92372702,1.280622662,0.089891669,-0.352249423,1.983322846,-1.713377605,0.796960188,-0.783359588
83,0.998472795,-1.142341856,-1.92372702,0.433500327,0.089891669,-0.352249423,-0.650358698,-1.713377605,0.796960188
84,-0.492685453,0.998472795,-1.142341856,-1.28667889,0.433500327,0.089891669,0.187026053,-0.650358698,-1.713377605
85,1.045934301,-0.492685453,0.998472795,-0.275116858,-1.28667889,0.433500327,-1.123188281,0.187026053,-0.650358698
86,-1.308789179,1.045934301,-0.492685453,-0.291274621,-0.275116858,-1.28667889,0.153510996,-1.123188281,0.187026053
87,0.528066392,-1.308789179,1.045934301,-0.810957044,-0.291274621,-0.275116858,-1.154203386,0.153510996,-1.123188281
88,0.525022151,0.528066392,-1.308789179,1.248448195,-0.810957044,-0.291274621,0.381242348,-1.154203386,0.153510996
89,0.053719729,0.525022151,0.528066392,-0.701166063,1.248448195,-0.810957044,0.273750925,0.381242348,-1.154203386
90,1.117846422,0.053719729,0.525022151,0.468952116,-0.701166063,1.248448195,0.076374273,0.273750925,0.381242348
91,-1.282805518,1.117846422,0.053719729,0.059064045,0.468952116,-0.701166063,1.968702843,0.076374273,0.273750925
92,0.688526561,-1.282805518,1.117846422,-0.766053926,0.059064045,0.468952116,-0.765847273,1.968702843,0.076374273
93,0.566466618,0.688526561,-1.282805518,-0.104379615,-0.766053926,0.059064045,0.910454782,-0.765847273,1.968702843
94,0.146315695,0.566466618,0.688526561,-1.748822004,-0.104379615,-0.766053926,0.510071364,0.910454782,-0.765847273
95,0.198611924,0.146315695,0.566466618,0.405515125,-1.748822004,-0.104379615,0.506670273,0.510071364,0.910454782
96,0.224428972,0.198611924,0.146315695,0.119914373,0.405515125,-1.748822004,1.119948453,0.506670273,0.510071364
97,0.734105565,0.224428972,0.198611924,-0.941378801,0.119914373,0.405515125,0.691652789,1.119948453,0.506670273
98,0.09486126,0.734105565,0.224428972,-0.335901057,-0.941378801,0.119914373,0.550543952,0.691652789,1.119948453
99,0.930359933,0.09486126,0.734105565,0.287677315,-0.335901057,-0.941378801,-0.55793518,0.550543952,0.691652789
100,-0.968012546,0.930359933,0.09486126,0.862975521,0.287677315,-0.335901057,0.358353046,-0.55793518,0.550543952
101,0.930710589,-0.968012546,0.930359933,-0.267914232,0.862975521,0.287677315,-0.492011273,0.358353046,-0.55793518
102,-1.287706568,0.930710589,-0.968012546,0.068134489,-0.267914232,0.862975521,1.294177514,-0.492011273,0.358353046
103,0.439401164,-1.287706568,0.930710589,-1.335254665,0.068134489,-0.267914232,-0.785853461,1.294177514,-0.492011273
104,-0.119383974,0.439401164,-1.287706568,0.667123167,-1.335254665,0.068134489,0.063762219,-0.785853461,1.294177514
105,1.455259125,-0.119383974,0.439401164,-0.76741046,0.667123167,-1.335254665,0.647895194,0.063762219,-0.785853461
106,-1.452181797,1.455259125,-0.119383974,0.982509477,-0.76741046,0.667123167,1.604248243,0.647895194,0.063762219
107,-0.21290047,-1.452181797,1.455259125,-0.736245343,0.982509477,-0.76741046,-0.968658587,1.604248243,0.647895194
108,1.140320338,-0.21290047,-1.452181797,2.007073044,-0.736245343,0.982509477,0.015682369,-0.968658587,1.604248243
109,-1.152275625,1.140320338,-0.21290047,-0.456951102,2.007073044,-0.736245343,1.392153685,0.015682369,-0.968658587
110,0.585775629,-1.152275625,1.140320338,-0.99388272,-0.456951102,2.007073044,-1.454051433,1.392153685,0.015682369
111,0.022673112,0.585775629,-1.152275625,0.138996414,-0.99388272,-0.456951102,0.399425213,-1.454051433,1.392153685
112,0.877470876,0.022673112,0.585775629,-1.673652574,0.138996414,-0.99388272,0.560635335,0.399425213,-1.454051433
113,-0.51915238,0.877470876,0.022673112,-0.197281559,-1.673652574,0.138996414,0.567200672,0.560635335,0.399425213
114,1.139551073,-0.51915238,0.877470876,-1.187269637,-0.197281559,-1.673652574,-0.868464618,0.567200672,0.560635335
115,-1.461833681,1.139551073,-0.51915238,0.542356904,-1.187269637,-0.197281559,1.033738604,-0.868464618,0.567200672
116,0.341909932,-1.461833681,1.139551073,-0.65606597,0.542356904,-1.187269637,-1.722649032,1.033738604,-0.868464618
117,0.791468664,0.341909932,-1.461833681,2.299303509,-0.65606597,0.542356904,-0.809823515,-1.722649032,1.033738604
118,-0.76943194,0.791468664,0.341909932,-1.532904554,2.299303509,-0.65606597,0.333645604,-0.809823515,-1.722649032
119,0.811907938,-0.76943194,0.791468664,0.476550645,-1.532904554,2.299303509,-0.685764532,0.333645604,-0.809823515
120,-0.712428302,0.811907938,-0.76943194,0.947024108,0.476550645,-1.532904554,0.409882806,-0.685764532,0.333645604
121,1.483200412,-0.712428302,0.811907938,-1.553976456,0.947024108,0.476550645,-0.611974569,0.409882806,-0.685764532
122,-1.362757575,1.483200412,-0.712428302,0.463763502,-1.553976456,0.947024108,1.635103624,-0.611974569,0.409882806
123,0.240615517,-1.362757575,1.483200412,-2.133467193,0.463763502,-1.553976456,-1.395489922,1.635103624,-0.611974569
124,0.768334243,0.240615517,-1.362757575,1.928618784,-2.133467193,0.463763502,-0.361018301,-1.395489922,1.635103624
125,-0.53266756,0.768334243,0.240615517,-0.538830526,1.928618784,-2.133467193,1.145574128,-0.361018301,-1.395489922
126,1.417437067,-0.53266756,0.768334243,-1.654048123,-0.538830526,1.928618784,-0.288866235,1.145574128,-0.361018301
127,-1.263871147,1.417437067,-0.53266756,1.066558206,-1.654048123,-0.538830526,0.610106012,-0.288866235,1.145574128
128,0.516907462,-1.263871147,1.417437067,-0.518649567,1.066558206,-1.654048123,-1.373839152,0.610106012,-0.288866235
129,0.476685329,0.516907462,-1.263871147,2.345343637,-0.518649567,1.066558206,1.171060077,-1.373839152,0.610106012
130,0.168092938,0.476685329,0.516907462,-1.519742149,2.345343637,-0.518649567,0.214365735,1.171060077,-1.373839152
131,0.515824855,0.168092938,0.476685329,1.263668023,-1.519742149,2.345343637,0.284955359,0.214365735,1.171060077
132,0.10683009,0.515824855,0.168092938,-0.631408678,1.263668023,-1.519742149,-0.074050171,0.284955359,0.214365735
133,0.939276338,0.10683009,0.515824855,0.100884,-0.631408678,1.263668023,0.876992658,-0.074050171,0.284955359
134,-0.969806666,0.939276338,0.10683009,0.253190687,0.100884,-0.631408678,0.352305622,0.876992658,-0.074050171
135,0.816908333,-0.969806666,0.939276338,-0.419619329,0.253190687,0.100884,-0.714253297,0.352305622,0.876992658
136,-0.870544601,0.816908333,-0.969806666,0.222154272,-0.419619329,0.253190687,1.113742009,-0.714253297,0.352305622
137,1.342762966,-0.870544601,0.816908333,0.273686061,0.222154272,-0.419619329,-0.691322521,1.113742009,-0.714253297
138,-1.390209836,1.342762966,-0.870544601,1.153725033,0.273686061,0.222154272,0.359956337,-0.691322521,1.113742009
139,0.028155471,-1.390209836,1.342762966,-2.007422043,1.153725033,0.273686061,-1.576741455,0.359956337,-0.691322521
140,1.2739378,0.028155471,-1.390209836,0.679740675,-2.007422043,1.153725033,-0.385605649,-1.576741455,0.359956337
141,-0.949077195,1.2739378,0.028155471,-0.757611847,0.679740675,-2.007422043,1.290092728,-0.385605649,-1.576741455
142,1.098184645,-0.949077195,1.2739378,1.076221592,-0.757611847,0.679740675,-0.662831157,1.290092728,-0.385605649
143,-0.474252782,1.098184645,-0.949077195,-0.43364336,1.076221592,-0.757611847,1.172187065,-0.662831157,1.290092728
144,1.296010728,-0.474252782,1.098184645,0.068498026,-0.43364336,1.076221592,-0.251227844,1.172187065,-0.662831157
145,-1.317140702,1.296010728,-0.474252782,0.52412975,0.068498026,-0.43364336,2.004927062,-0.251227844,1.172187065
146,0.531700321,-1.317140702,1.296010728,-1.44359104,0.52412975,0.068498026,-1.024123594,2.004927062,-0.251227844
147,0.497326583,0.531700321,-1.317140702,1.228474611,-1.44359104,0.52412975,0.909233971,-1.024123594,2.004927062
148,0.1015386,0.497326583,0.531700321,-1.611117765,1.228474611,-1.44359104,0.399913096,0.909233971,-1.024123594
149,1.004526622,0.1015386,0.497326583,-0.209204883,-1.611117765,1.228474611,-0.265674664,0.399913096,0.909233971
150,-0.71311963,1.004526622,0.1015386,-0.359246366,-0.209204883,-1.611117765,0.227930365,-0.265674664,0.399913096
151,1.189610201,-0.71311963,1.004526622,-1.509471558,-0.359246366,-0.209204883,-0.840436304,0.227930365,-0.265674664
152,-1.330636679,1.189610201,-0.71311963,0.171641242,-1.509471558,-0.359246366,1.047505858,-0.840436304,0.227930365
153,0.537156828,-1.330636679,1.189610201,-1.987462858,0.171641242,-1.509471558,-1.221479208,1.047505858,-0.840436304
154,0.357392854,0.537156828,-1.330636679,1.65753707,-1.987462858,0.171641242,0.637761756,-1.221479208,1.047505858
155,0.172334267,0.357392854,0.537156828,0.560627062,1.65753707,-1.987462858,0.390599803,0.637761756,-1.221479208
156,0.400226732,0.172334267,0.357392854,-0.26687572,0.560627062,1.65753707,0.977081309,0.390599803,0.637761756
157,0.469071421,0.400226732,0.172334267,0.463695254,-0.26687572,0.560627062,-0.011093264,0.977081309,0.390599803
158,0.473999225,0.469071421,0.400226732,-0.387894069,0.463695254,-0.26687572,0.762041508,-0.011093264,0.977081309
159,0.486857293,0.473999225,0.469071421,-0.516800048,-0.387894069,0.463695254,0.93733026,0.762041508,-0.011093264
160,-0.352558918,0.486857293,0.473999225,-0.799840317,-0.516800048,-0.387894069,0.152309229,0.93733026,0.762041508
161,0.74428965,-0.352558918,0.486857293,0.901866512,-0.799840317,-0.516800048,0.368829462,0.152309229,0.93733026
162,-1.130676099,0.74428965,-0.352558918,-1.043150921,0.901866512,-0.799840317,0.599504114,0.368829462,0.152309229
163,0.443829831,-1.130676099,0.74428965,-0.966408993,-1.043150921,0.901866512,-1.241793321,0.599504114,0.368829462
164,0.532299444,0.443829831,-1.130676099,1.58877257,-0.966408993,-1.043150921,1.055181396,-1.241793321,0.599504114
165,0.700969372,0.532299444,0.443829831,-1.239124071,1.58877257,-0.966408993,-0.371044501,1.055181396,-1.241793321
166,-0.361181007,0.700969372,0.532299444,1.461516463,-1.239124071,1.58877257,1.457677491,-0.371044501,1.055181396
167,1.386599554,-0.361181007,0.700969372,-1.429021173,1.461516463,-1.239124071,0.077746539,1.457677491,-0.371044501
168,-1.191276069,1.386599554,-0.361181007,-0.655800658,-1.429021173,1.461516463,0.884667255,0.077746539,1.457677491
169,0.357611594,-1.191276069,1.386599554,-0.74929681,-0.655800658,-1.429021173,-1.46584281,0.884667255,0.077746539
170,0.259411597,0.357611594,-1.191276069,0.279262086,-0.74929681,-0.655800658,0.546040042,-1.46584281,0.884667255
171,0.376767856,0.259411597,0.357611594,-0.157193482,0.279262086,-0.74929681,-0.121429178,0.546040042,-1.46584281
172,0.254832074,0.376767856,0.259411597,0.102141104,-0.157193482,0.279262086,0.156354344,-0.121429178,0.546040042
173,0.186317021,0.254832074,0.376767856,0.641025436,0.102141104,-0.157193482,-0.129755263,0.156354344,-0.121429178
174,0.894118106,0.186317021,0.254832074,0.664561294,0.641025436,0.102141104,-0.661936865,-0.129755263,0.156354344
175,-0.026881308,0.894118106,0.186317021,-0.354487212,0.664561294,0.641025436,-0.268272622,-0.661936865,-0.129755263
176,1.16305131,-0.026881308,0.894118106,-0.959938016,-0.354487212,0.664561294,-0.250569485,-0.268272622,-0.661936865
177,-1.274744144,1.16305131,-0.026881308,0.01573992,-0.959938016,-0.354487212,1.331953318,-0.250569485,-0.268272622
178,0.179910495,-1.274744144,1.16305131,-0.6348251,0.01573992,-0.959938016,-0.841976538,1.331953318,-0.250569485
179,0.474507004,0.179910495,-1.274744144,0.683212538,-0.6348251,0.01573992,0.558622387,-0.841976538,1.331953318
180,-0.133309213,0.474507004,0.179910495,0.006870494,0.683212538,-0.6348251,0.651810047,0.558622387,-0.841976538
181,1.000607224,-0.133309213,0.474507004,0.106849168,0.006870494,0.683212538,-0.129441174,0.651810047,0.558622387
182,-0.744673899,1.000607224,-0.133309213,0.313180481,0.106849168,0.006870494,1.138157196,-0.129441174,0.651810047
183,0.993396996,-0.744673899,1.000607224,-1.376470061,0.313180481,0.106849168,-0.329241498,1.138157196,-0.129441174
184,-1.322475291,0.993396996,-0.744673899,1.645157819,-1.376470061,0.313180481,1.401555311,-0.329241498,1.138157196
185,0.535778633,-1.322475291,0.993396996,-1.305362196,1.645157819,-1.376470061,-1.174470236,1.401555311,-0.329241498
186,0.490292108,0.535778633,-1.322475291,0.330496126,-1.305362196,1.645157819,-0.212782803,-1.174470236,1.401555311
187,0.518591577,0.490292108,0.535778633,-0.136648158,0.330496126,-1.305362196,0.724614846,-0.212782803,-1.174470236
188,0.564209651,0.518591577,0.490292108,0.198959344,-0.136648158,0.330496126,1.193687307,0.724614846,-0.212782803
189,0.148808823,0.564209651,0.518591577,-0.618228455,0.198959344,-0.136648158,1.131858525,1.193687307,0.724614846
190,0.626932357,0.148808823,0.564209651,-0.36013407,-0.618228455,0.198959344,0.047550486,1.131858525,1.193687307
191,0.111045229,0.626932357,0.148808823,-0.027172642,-0.36013407,-0.618228455,0.360078469,0.047550486,1.131858525
192,0.896599472,0.111045229,0.626932357,-0.915383953,-0.027172642,-0.36013407,0.112107551,0.360078469,0.047550486
193,-0.75957259,0.896599472,0.111045229,0.701270451,-0.915383953,-0.027172642,1.390652144,0.112107551,0.360078469
194,0.784424119,-0.75957259,0.896599472,-0.569933234,0.701270451,-0.915383953,-0.218608885,1.390652144,0.112107551
195,-1.277411461,0.784424119,-0.75957259,-0.458297483,-0.569933234,0.701270451,0.634712665,-0.218608885,1.390652144
196,0.558733498,-1.277411461,0.784424119,-0.862807852,-0.458297483,-0.569933234,-1.153702415,0.634712665,-0.218608885
197,0.633977106,0.558733498,-1.277411461,0.434703441,-0.862807852,-0.458297483,0.358857133,-1.153702415,0.634712665
198,0.020644143,0.633977106,0.558733498,0.631287233,0.434703441,-0.862807852,1.323193261,0.358857133,-1.153702415
199,0.548922826,0.020644143,0.633977106,0.156250814,0.631287233,0.434703441,-0.332345924,1.323193261,0.358857133
200,0.040303513,0.548922826,0.020644143,-0.204528598,0.156250814,0.631287233,1.61540455,-0.332345924,1.323193261
