Time,TentMap
1,-0.0992
2,-0.6013
3,0.7998
4,-0.79441
5,0.798
6,-0.81954
7,0.8052
8,-0.71912
9,0.77644
10,-1.12041
11,0.89136
12,0.2163
13,-1.03119
14,0.86581
15,0.12662
16,-1.18179
17,0.92908
18,0.14121
19,0.02082
20,-0.90982
21,0.86851
22,0.16428
23,-1.27862
24,0.95064
25,0.09827
26,0.19645
27,-0.75307
28,0.78616
29,-0.98474
30,0.85251
31,-0.05898
32,-0.70468
33,0.82282
34,-0.47316
35,0.36
36,-0.71965
37,0.82616
38,-0.42665
39,0.24045
40,-0.48066
41,0.77293
42,-1.1693
43,0.90536
44,0.18843
45,-0.64067
46,0.75397
47,-1.43388
48,0.98114
49,0.03756
50,0.07508
51,0.15009
52,-0.10355
53,-0.59012
54,0.79731
55,-0.82913
56,0.80794
57,-0.68078
58,0.76546
59,-1.27359
60,0.93523
61,0.12896
62,0.19241
63,-1.35092
64,0.96674
65,0.06621
66,0.13236
67,0.14476
68,-1.22842
69,0.93946
70,0.12053
71,0.24094
72,-1.37635
73,0.96466
74,0.07036
75,0.14065
76,0.02859
77,-0.9298
78,0.87296
79,0.22638
80,-1.43823
81,0.98619
82,0.0275
83,0.05497
84,0.10988
85,0.21966
86,-1.07817
87,0.87926
88,0.24039
89,-1.36859
90,0.96244
91,0.07479
92,0.1495
93,-0.09534
94,-0.61123
95,0.80201
96,-0.76356
97,0.78916
98,-0.94282
99,0.8405
100,-0.22649
101,-0.27407
102,0.54787
103,-1.09519
104,0.90979
105,0.17961
106,-0.51713
107,0.47304
108,-0.94561
109,0.87648
110,0.24593
111,-1.44624
112,0.98468
113,0.03051
114,0.06099
115,0.12192
116,0.24372
117,-1.41527
118,0.97581
119,0.04817
120,0.0963
121,0.1925
122,-0.69767
123,0.77029
124,-1.20612
125,0.91591
126,0.16743
127,-0.34653
128,0.03449
129,-0.06894
130,0.13781
131,-0.27547
132,0.55067
133,-1.1008
134,0.91104
135,0.17712
136,-0.48229
137,0.38349
138,-0.7666
139,0.83661
140,-0.28075
141,-0.1346
142,0.26907
143,-0.53788
144,0.78568
145,-0.99149
146,0.85444
147,-0.03201
148,-0.77401
149,0.83826
150,-0.25772
151,-0.1938
152,0.3874
153,-0.77442
154,0.83835
155,-0.25647
156,-0.19703
157,0.39386
158,-0.78732
159,0.84123
160,-0.21637
161,-0.3001
162,0.59989
163,-1.19918
164,0.93295
165,0.1335
166,0.12886
167,-1.18756
168,0.93036
169,0.13865
170,0.05663
171,-1.00188
172,0.88901
173,0.22098
174,-1.09673
175,0.88458
176,0.22981
177,-1.22035
178,0.91998
179,0.15932
180,-0.23287
181,-0.25769
182,0.51512
183,-1.02972
184,0.89521
185,0.20863
186,-0.92377
187,0.83505
188,-0.30262
189,-0.07839
190,0.15671
191,-0.31326
192,0.6262
193,-1.25177
194,0.94466
195,0.11018
196,0.22024
197,-1.0864
198,0.88162
199,0.23569
200,-1.30285
201,0.94361
202,0.11227
203,0.22444
204,-1.14514
205,0.89844
206,0.2022
207,-0.83366
208,0.80924
209,-0.6627
210,0.76028
211,-1.34584
212,0.95592
213,0.08776
214,0.17543
215,-0.45858
216,0.32254
217,-0.64475
218,0.80948
219,-0.65939
220,0.75933
221,-1.35908
222,0.95971
223,0.08021
224,0.16034
225,-0.24722
226,-0.2208
227,0.44138
228,-0.88232
229,0.86238
230,0.07883
231,-1.05895
232,0.90172
233,0.19568
234,-0.74223
235,0.78306
236,-1.02803
237,0.86491
238,0.11401
239,-1.14938
240,0.92186
241,0.15558
242,-0.18048
243,-0.39235
244,0.75327
245,-1.4437
246,0.98395
247,0.03196
248,0.06389
249,0.12772
250,0.20982
251,-1.39567
252,0.97671
253,0.04637
254,0.0927
255,0.1853
256,-0.59694
257,0.6782
258,-1.35573
259,0.96781
260,0.06408
261,0.1281
262,0.20445
263,-1.38188
264,0.97364
265,0.05248
266,0.10492
267,0.20973
268,-0.93908
269,0.83943
270,-0.24143
271,-0.23567
272,0.47111
273,-0.94174
274,0.87562
275,0.24765
276,-1.47031
277,0.99157
278,0.01679
279,0.03356
280,0.06709
281,0.13411
282,0.1203
283,-1.16554
284,0.92546
285,0.14841
286,-0.0801
287,-0.6504
288,0.81073
289,-0.64184
290,0.75431
291,-1.4292
292,0.9798
293,0.04023
294,0.08041
295,0.16075
296,-0.25293
297,-0.20611
298,0.41201
299,-0.82361
300,0.84931
301,-0.10359
302,-0.59
303,0.79728
304,-0.82951
305,0.80805
306,-0.67929
307,0.76503
308,-1.27957
309,0.93694
310,0.12555
311,0.24021
312,-1.47379
313,0.99411
314,0.01173
315,0.02345
316,0.04688
317,0.09372
318,0.18734
319,-0.62541
320,0.7496
321,-1.49487
322,0.9986
323,0.00278
324,0.00557
325,0.01113
326,0.02224
327,0.04446
328,0.08888
329,0.17767
330,-0.48999
331,0.40328
332,-0.80616
333,0.84542
334,-0.15781
335,-0.45064
336,0.76625
337,-1.26257
338,0.93208
339,0.13524
340,0.10444
341,-1.12478
342,0.91638
343,0.16649
344,-0.33333
345,0.00057
346,-0.00113
347,0.00226
348,-0.00451
349,0.00902
350,-0.01804
351,0.03605
352,-0.07207
353,0.14406
354,-0.28799
355,0.57568
356,-1.15079
357,0.92217
358,0.15495
359,-0.17174
360,-0.41484
361,0.75827
362,-1.37382
363,0.96394
364,0.0718
365,0.14353
366,-0.01178
367,-0.82603
368,0.84985
369,-0.09607
370,-0.60936
371,0.80159
372,-0.76937
373,0.79083
374,-0.9196
375,0.83385
376,-0.31929
377,-0.03553
378,0.07102
379,-0.14197
380,0.28379
381,-0.5673
382,0.79223
383,-0.90005
384,0.82825
385,-0.39739
386,0.16523
387,-0.3303
388,0.66027
389,-1.31987
390,0.95983
391,0.07998
392,0.15988
393,-0.24078
394,-0.23734
395,0.47445
396,-0.94842
397,0.87711
398,0.24468
399,-1.42879
400,0.97968
401,0.04046
402,0.08089
403,0.16169
404,-0.26618
405,-0.17205
406,0.34393
407,-0.68751
408,0.819
409,-0.52652
410,0.49718
411,-0.99387
412,0.88723
413,0.22453
414,-1.14649
415,0.89883
416,0.20143
417,-0.82286
418,0.80615
419,-0.70584
420,0.77263
421,-1.17347
422,0.90656
423,0.18605
424,-0.60731
425,0.70488
426,-1.40905
427,0.97969
428,0.04044
429,0.08084
430,0.16159
431,-0.26477
432,-0.17568
433,0.35118
434,-0.702
435,0.82223
436,-0.48148
437,0.38141
438,-0.76243
439,0.83569
440,-0.2937
441,-0.10132
442,0.20254
443,-0.40488
444,0.75606
445,-1.40477
446,0.9728
447,0.05416
448,0.10827
449,0.21642
450,-1.03289
451,0.8663
452,0.13343
453,-1.1993
454,0.93298
455,0.13344
456,0.12958
457,-1.18941
458,0.93078
459,0.13783
460,0.06816
461,-1.03153
462,0.89561
463,0.20783
464,-0.91254
465,0.83183
466,-0.34748
467,0.03694
468,-0.07385
469,0.14762
470,-0.29509
471,0.58988
472,-1.17918
473,0.9285
474,0.14237
475,0.0046
476,-0.86813
477,0.85922
478,0.03473
479,-0.9456
480,0.87648
481,0.24594
482,-1.44635
483,0.98471
484,0.03045
485,0.06086
486,0.12167
487,0.24322
488,-1.40821
489,0.97379
490,0.05219
491,0.10434
492,0.20857
493,-0.92281
494,0.83477
495,-0.30647
496,-0.06849
497,0.13691
498,-0.27368
499,0.54708
500,-1.09361
501,0.90944
502,0.18031
503,-0.52694
504,0.49827
505,-0.99605
506,0.88771
507,0.22357
508,-1.13295
509,0.89495
510,0.20915
511,-0.93098
512,0.83711
513,-0.27381
514,-0.15243
515,0.30472
516,-0.60913
517,0.80154
518,-0.77008
519,0.79103
520,-0.91674
521,0.83303
522,-0.33069
523,-0.00621
524,0.01242
525,-0.02482
526,0.04962
527,-0.09918
528,0.19827
529,-0.39634
530,0.75415
531,-1.43131
532,0.9804
533,0.03903
534,0.07801
535,0.15595
536,-0.18566
537,-0.37904
538,0.7503
539,-1.48507
540,0.9958
541,0.00837
542,0.01673
543,0.03344
544,0.06685
545,0.13363
546,0.12694
547,-1.18263
548,0.92926
549,0.14084
550,0.02601
551,-0.92316
552,0.87148
553,0.20574
554,-1.38518
555,0.97437
556,0.05102
557,0.102
558,0.20389
559,-0.85733
560,0.81602
561,-0.56813
562,0.60414
563,-1.20767
564,0.93484
565,0.12973
566,0.18158
567,-1.32307
568,0.96054
569,0.07856
570,0.15704
571,-0.20103
572,-0.33954
573,0.67873
574,-1.35679
575,0.96805
576,0.06361
577,0.12716
578,0.21758
579,-1.41562
580,0.98115
581,0.03753
582,0.07501
583,0.14995
584,-0.10168
585,-0.59493
586,0.79838
587,-0.8142
588,0.80367
589,-0.74044
590,0.78254
591,-1.03519
592,0.86696
593,0.14262
594,-1.22292
595,0.93824
596,0.12297
597,0.24581
598,-1.44461
599,0.98421
600,0.03144
601,0.06285
602,0.12563
603,0.23905
604,-1.47083
605,0.99345
606,0.01305
607,0.02608
608,0.05214
609,0.10422
610,0.20834
611,-0.91958
612,0.83385
613,-0.31937
614,-0.03532
615,0.07061
616,-0.14115
617,0.28217
618,-0.56405
619,0.7915
620,-0.91016
621,0.83115
622,-0.357
623,0.06142
624,-0.12278
625,0.24543
626,-0.49062
627,0.77515
628,-1.13834
629,0.8965
630,0.20608
631,-0.88798
632,0.8248
633,-0.44564
634,0.28926
635,-0.57823
636,0.79466
637,-0.86609
638,0.81853
639,-0.53312
640,0.51415
641,-1.02778
642,0.89478
643,0.2095
644,-0.93586
645,0.83851
646,-0.25432
647,-0.20256
648,0.40491
649,-0.80941
650,0.84615
651,-0.14772
652,-0.47658
653,0.77203
654,-1.18196
655,0.90899
656,0.18121
657,-0.53951
658,0.53059
659,-1.06065
660,0.9021
661,0.19492
662,-0.7317
663,0.78004
664,-1.07013
665,0.87696
666,0.24497
667,-1.43279
668,0.98082
669,0.03818
670,0.07632
671,0.15256
672,-0.13825
673,-0.50091
674,0.77744
675,-1.10635
676,0.88734
677,0.22432
678,-1.14347
679,0.89797
680,0.20315
681,-0.84697
682,0.81305
683,-0.60951
684,0.71052
685,-1.42033
686,0.9822
687,0.03544
688,0.07084
689,0.14161
690,0.0152
691,-0.89537
692,0.86529
693,0.11941
694,-1.16325
695,0.92495
696,0.14943
697,-0.09432
698,-0.61384
699,0.80259
700,-0.75543
701,0.78683
702,-0.97532
703,0.84981
704,-0.09662
705,-0.60793
706,0.80128
707,-0.77381
708,0.7921
709,-0.90187
710,0.82877
711,-0.39013
712,0.14657
713,-0.29299
714,0.5857
715,-1.17081
716,0.92663
717,0.14608
718,-0.0474
719,-0.73446
720,0.82946
721,-0.38061
722,0.12211
723,-0.2441
724,0.48796
725,-0.97544
726,0.88312
727,0.23271
728,-1.26098
729,0.93162
730,0.13615
731,0.09172
732,-1.09208
733,0.9091
734,0.18099
735,-0.53644
736,0.52269
737,-1.04485
738,0.89858
739,0.20193
740,-0.8298
741,0.80813
742,-0.67813
743,0.7647
744,-1.28419
745,0.93827
746,0.12291
747,0.2457
748,-1.44299
749,0.98375
750,0.03236
751,0.06469
752,0.12932
753,0.18733
754,-1.33787
755,0.96384
756,0.072
757,0.14393
758,-0.01735
759,-0.81171
760,0.84666
761,-0.14057
762,-0.49495
763,0.77612
764,-1.12488
765,0.89264
766,0.21375
767,-0.99549
768,0.85559
769,-0.01601
770,-0.81514
771,0.84742
772,-0.12991
773,-0.52236
774,0.78222
775,-1.03971
776,0.86825
777,0.16069
778,-1.26938
779,0.94859
780,0.10237
781,0.20463
782,-0.86772
783,0.81899
784,-0.5266
785,0.4974
786,-0.9943
787,0.88732
788,0.22434
789,-1.14382
790,0.89807
791,0.20295
792,-0.84415
793,0.81224
794,-0.62079
795,0.73951
796,-1.47829
797,0.99511
798,0.00974
799,0.01947
800,0.03891
801,0.07779
802,0.15549
803,-0.17932
804,-0.39533
805,0.75393
806,-1.43442
807,0.98129
808,0.03725
809,0.07446
810,0.14885
811,-0.08622
812,-0.63467
813,0.80723
814,-0.6907
815,0.7683
816,-1.23395
817,0.92388
818,0.15156
819,-0.12425
820,-0.53691
821,0.78546
822,-0.9945
823,0.8553
824,-0.01996
825,-0.805
826,0.84516
827,-0.16144
828,-0.44131
829,0.76417
830,-1.29155
831,0.94037
832,0.11872
833,0.23731
834,-1.32551
835,0.9501
836,0.09935
837,0.19861
838,-0.78327
839,0.79481
840,-0.86406
841,0.81795
842,-0.5412
843,0.53492
844,-1.0693
845,0.90403
846,0.19109
847,-0.67794
848,0.76464
849,-1.28494
850,0.93848
851,0.12249
852,0.24485
853,-1.43109
854,0.98034
855,0.03915
856,0.07826
857,0.15645
858,-0.19265
859,-0.36106
860,0.72176
861,-1.4428
862,0.98721
863,0.02547
864,0.05092
865,0.10179
866,0.20348
867,-0.85159
868,0.81438
869,-0.59103
870,0.66301
871,-1.32536
872,0.96105
873,0.07755
874,0.15502
875,-0.17267
876,-0.41244
877,0.75774
878,-1.38128
879,0.96607
880,0.06755
881,0.13504
882,0.10727
883,-1.13207
884,0.918
885,0.16325
886,-0.28804
887,-0.11587
888,0.23163
889,-0.46302
890,0.76901
891,-1.22409
892,0.92105
893,0.15718
894,-0.203
895,-0.33447
896,0.6686
897,-1.33654
898,0.96354
899,0.07259
900,0.14511
901,-0.03381
902,-0.7694
903,0.83724
904,-0.27205
905,-0.15698
906,0.3138
907,-0.62728
908,0.80559
909,-0.71368
910,0.77488
911,-1.14214
912,0.89759
913,0.20391
914,-0.85756
915,0.81609
916,-0.56718
917,0.60169
918,-1.20278
919,0.93375
920,0.1319
921,0.15122
922,-1.24505
923,0.94317
924,0.11316
925,0.2262
926,-1.1699
927,0.90554
928,0.18808
929,-0.63583
930,0.75258
931,-1.45321
932,0.98667
933,0.02654
934,0.05305
935,0.10604
936,0.21198
937,-0.97059
938,0.84846
939,-0.11551
940,-0.55938
941,0.79046
942,-0.92468
943,0.83531
944,-0.29899
945,-0.0877
946,0.17531
947,-0.35045
948,0.70055
949,-1.4004
950,0.97776
951,0.04428
952,0.08851
953,0.17692
954,-0.47954
955,0.37641
956,-0.75244
957,0.83346
958,-0.32476
959,-0.02147
960,0.04292
961,-0.0858
962,0.17152
963,-0.34287
964,0.6854
965,-1.37011
966,0.97102
967,0.0577
968,0.11535
969,0.23059
970,-1.23128
971,0.92311
972,0.15308
973,-0.14553
974,-0.4822
975,0.77328
976,-1.1645
977,0.90399
978,0.19116
979,-0.67898
980,0.76494
981,-1.28081
982,0.9373
983,0.12484
984,0.24956
985,-1.4971
986,0.99924
987,0.00151
988,0.00302
989,0.00603
990,0.01206
991,0.02411
992,0.04819
993,0.09632
994,0.19255
995,-0.69848
996,0.77053
997,-1.20288
998,0.91498
999,0.16928
